
Dodge, Challenger SRT Superstock, 2021, <img data-src="//medias.fcacanada.ca//specs/dodge/media/images/bento/2020-dodge-bento-overview-dodge-challenger-srt-superstock-v2_6d89d2e7a9cba91373043850a773d027-1248x624.jpg" alt="A red Dodge Challenger SRT Superstock being driven on a road" class=" lazyloaded" src="//medias.fcacanada.ca//specs/dodge/media/images/bento/2020-dodge-bento-overview-dodge-challenger-srt-superstock-v2_6d89d2e7a9cba91373043850a773d027-1248x624.jpg">
Dodge, Charger SRT Hellcat Widebody Redeye, 2021, <img data-src="//medias.fcacanada.ca//specs/dodge/media/images/bento/2020-dodge-bento-overview-desktop-dodge-charger-srt-hellcat-widebody-redeye-v2_95975a49641754e042796383b95d05e7-1248x624.jpg" alt="A white and black Dodge Charger SRT Hellcat Widebody Redeye being driven on a road" class=" lazyloaded" src="//medias.fcacanada.ca//specs/dodge/media/images/bento/2020-dodge-bento-overview-desktop-dodge-charger-srt-hellcat-widebody-redeye-v2_95975a49641754e042796383b95d05e7-1248x624.jpg">
Toyota, Sienna, Crossovers & SUVs, 2021, <img alt="Sienna" src="https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/common/vehicles/thumbnails/sih.png?ck=03142021102310" srcset="https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/common/vehicles/thumbnails/sih.png?ck=03142021102310" data-srcset-options="https://s3.amazonaws.com/toyota.site.toyota-v5/tci-prod/toyota/media/common/vehicles/thumbnails/sih.png?ck=03142021102310 99999w">
Hyundai, Santa Fe, Crossovers & SUVs, 2021, <img class="vn-tile__image" src="/-/media/hyundai/showroom/2021/santa-fe/navigation/my21_santafe.jpg" alt="SANTA FE">
Nissan, Kicks, Crossovers & SUVs, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/kicks/2021/vap/vehicle-profile/2021-nissan-kicks-s_kby.png.ximg.l_3_m.smart.png" alt="2021 Nissan Kicks in Boulder Grey" src="/content/dam/Nissan/Canada/Vehicles/kicks/2021/vap/vehicle-profile/2021-nissan-kicks-s_kby.png.ximg.l_3_m.smart.png">

==========NOT INSERTED INTO DATABASE YET
Ford, Bronco Sport, Crossovers & SUVs, 2021, <img src="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_bco_spt_rbase_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_bco_spt_rbase_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_bco_spt_rbase_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2021 Ford Bronco Sport Base in Iconic Silver">
Ford, Edge, 2021, Crossovers & SUVs, <img src="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/edge/2021/collections/3-2/21_frd_edg_se_oxwh_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/edge/2021/collections/3-2/21_frd_edg_se_oxwh_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/edge/2021/collections/3-2/21_frd_edg_se_oxwh_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2021 Ford Edge SE shown in Oxford White">
Ford, Bronco, 2021, Crossovers & SUVs, <img src="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_u725_Base_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_u725_Base_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_u725_Base_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="Right profile view of 2021 Ford Bronco in Shadow Black">
Ford, Explorer, 2021, Crossovers & SUVs, <img src="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/explorer/2021/collections/3-2/21_frd_epr_xlt_stgr_rpro_356_suvs_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/explorer/2021/collections/3-2/21_frd_epr_xlt_stgr_rpro_356_suvs_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/explorer/2021/collections/3-2/21_frd_epr_xlt_stgr_rpro_356_suvs_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2021 Ford Explorer X L T shown in Stone Grey">
Ford, F-150, Truck, 2021, <img src="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/f-150commercial/2021/collections/3-2/21_frd_f150_rcab_6_5ft_xl_agbl_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/f-150commercial/2021/collections/3-2/21_frd_f150_rcab_6_5ft_xl_agbl_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/f-150commercial/2021/collections/3-2/21_frd_f150_rcab_6_5ft_xl_agbl_rpro_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2021 Ford F 1 50 in Agate Black shown from passenger side angle">
Ford, Ranger, Sedan, 2021, <img src="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/ranger/2021/collections/3-2/2021_frd_lar_scc_nav_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/ranger/2021/collections/3-2/2021_frd_lar_scc_nav_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/vdm_ford/live/en_ca/ford/nameplate/ranger/2021/collections/3-2/2021_frd_lar_scc_nav_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2021 Ford Ranger shown from passenger profile view">
Ford, Fusion, Sedan, 2020, <img src="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/20_frd_fsn_rpro_s_agbl_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/20_frd_fsn_rpro_s_agbl_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/20_frd_fsn_rpro_s_agbl_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2020 Ford Fusion S E L shown in agate black">
Nissan, Rouge, Crossovers & SUVs, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/rogue/2021/vap/trims/PLATINUM.png.ximg.l_3_m.smart.png" alt="2021 Nissan Rogue" src="/content/dam/Nissan/Canada/Vehicles/rogue/2021/vap/trims/PLATINUM.png.ximg.l_3_m.smart.png">
Nissan, Murano, Crossovers & SUVs, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/murano/2021/vap/vehicle-profile/2021-nissan-murano.png.ximg.l_3_m.smart.png" alt="2021 Nissan Murano" src="/content/dam/Nissan/Canada/Vehicles/murano/2021/vap/vehicle-profile/2021-nissan-murano.png.ximg.l_3_m.smart.png">
Nissan, Pathfinder, Crossovers & SUVs, 2020, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/pathfinder/2020/vap/vehicle-profile/2020-nissan-pathfinder-sv-rock%20creek-magnetic-black.png.ximg.l_3_m.smart.png" alt="2020 Nissan Pathfinder" src="/content/dam/Nissan/Canada/Vehicles/pathfinder/2020/vap/vehicle-profile/2020-nissan-pathfinder-sv-rock%20creek-magnetic-black.png.ximg.l_3_m.smart.png">
Nissan, Versa, Sedan, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/versa/2021/vap/vehicle-profile/sr-cvt-nbl.png.ximg.l_3_m.smart.png" alt="" src="/content/dam/Nissan/Canada/Vehicles/versa/2021/vap/vehicle-profile/sr-cvt-nbl.png.ximg.l_3_m.smart.png">
Nissan, Altima, Sedan, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/altima/2021/vap/vehicle_profile/SE/2021-nissan-altima-SE_kh3.png.ximg.l_3_m.smart.png" alt="2021 Nissan Altima" src="/content/dam/Nissan/Canada/Vehicles/altima/2021/vap/vehicle_profile/SE/2021-nissan-altima-SE_kh3.png.ximg.l_3_m.smart.png">
Nissan, Maxima, Sedan, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/maxima/2021/vap/vehicle-profile/2021-nissan-maxima-sr.png.ximg.l_3_m.smart.png" alt="2021 Maxima" src="/content/dam/Nissan/Canada/Vehicles/maxima/2021/vap/vehicle-profile/2021-nissan-maxima-sr.png.ximg.l_3_m.smart.png">
Mazda, 3 GX, Sedan, 2021, <img src="/common/cars/2021/m3s/images/trim/Model_Selector_539x303_M3_Sedan_GX.jpg" alt="">
Mazda, CX-5 GX, Crossovers & SUVs, 2021, <img src="/common/cars/2021/cx5/images/trim/Model_Selector_539x303_CX-5_GX.jpg" alt="">
Subaru, Impreza Sport-tech, Crossovers & SUVs, 2021, <img class="vehicle" alt="" title="" src="/Content/7907/Media/General/Thumbnail/VehicleSelector/VS_1286_4452.png" style="display: inline;">
Subaru, Outback Convenience, Crossovers & SUVs, 2021, <img class="vehicle" alt="" title="" src="/Content/7907/Media/General/Thumbnail/VehicleSelector/VS_1303_6320.png" style="display: inline;">
Subaru, WRX STI, Sedan, 2021, <img class="vehicle" alt="" title="" src="/Content/7907/Media/General/Thumbnail/VehicleSelector/VS_1321_3603.png" style="display: inline; opacity: 1;">


Nissan, GT-R, Sports Car, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/gtr/2021/vap/vehicle-profile/2021-nissan-GT-R-specs-premium-interior.png.ximg.l_3_m.smart.png" alt="GT-R  GT-R_Premium_Interior" src="/content/dam/Nissan/Canada/Vehicles/gtr/2021/vap/vehicle-profile/2021-nissan-GT-R-specs-premium-interior.png.ximg.l_3_m.smart.png">
Nissan, 370Z Coupe, Sports Car, 2021, <img class="usg-lazy-fade-in lazyloaded" data-src="/content/dam/Nissan/Canada/Vehicles/370z_coupe/VAPGrades/2019-nissan-370z-versions-coupe.png.ximg.l_3_m.smart.png" alt="2020 370Z COUPE" src="/content/dam/Nissan/Canada/Vehicles/370z_coupe/VAPGrades/2019-nissan-370z-versions-coupe.png.ximg.l_3_m.smart.png">
Mazda, MX-5 RF GS-P, Sports Car, 2021, <img src="/common/cars/2021/mx5rf/images/trim/539x303_Model_Selector_MX5_RF_GS_p.jpg?v=1615824253659" alt="">
Ford, Mustang Mach-E, Sports Car, 2021, <img src="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_cx727_select_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_cx727_select_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" data-srcset="/cmslibs/content/dam/brand_ford/en_ca/brand/ad_planners/redesign_2020/21_frd_cx727_select_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png" class=" lazyloaded" alt="2021 Ford Mustang Mach E Select shown in Iconic Silver">
Subaru, BRZ tS, Sports Car, 2021, <img class="vehicle" alt="" title="" src="/Content/7907/Media/General/Thumbnail/VehicleSelector/VS_1254_6600.png" style="display: inline;">
Lexus, IS, Luxury Sedan, 2021, <img src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/is.png?ck=03152021111635" data-src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/is.png?ck=03152021111635" alt="" id="" class="" aria-hidden="false">
Lexus, LC Convertible, Sports Car, 2021, <img src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/lcc.png?ck=03152021111635" data-src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/lcc.png?ck=03152021111635" alt="" id="" class="" aria-hidden="false">
Lexus, RX, Luxury Crossovers & SUVs, 2021, <img src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/rx.png?ck=03152021111635" data-src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/rx.png?ck=03152021111635" alt="" id="" class="" aria-hidden="false">
Lexus, LX, Luxury Crossovers & SUVs, 2021, <img src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/lx.png?ck=03152021111635" data-src="https://s3.amazonaws.com/lexus.site.lexus/tci-prod/lexus/media/chrome/navigation/vehicle-grid/lx.png?ck=03152021111635" alt="" id="" class="" aria-hidden="false">
Acura, TLX, Luxury Sedan, 2021, <img src="https://images.honda.ca:443/models/A/Models/2021/tlx/acuraca_modelNav.png?width=262" alt="TLX">
Acura, RDX, Luxury Crossovers & SUVs, 2021, <img src="https://images.honda.ca:443/models/A/Models/2021/rdx/acuraca_modelNav.png?width=262" alt="RDX">
Acura, NSX, Super Car, 2021, <img src="https://images.honda.ca:443/models/A/Models/2021/nsx/acuraca_modelNav.png?width=262" alt="NSX">
Porsche, 718, Sports Car, 2021, <img alt="Porsche - Reserve a 718 Model" src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-718/normal/b45d5744-b7c0-11ea-80ca-005056bbdc38;sQ;twebp/porsche-normal.webp" data-image-src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-718/normal/b45d5744-b7c0-11ea-80ca-005056bbdc38/porsche-normal.jpg" data-width="1920" data-height="1080" class="m-102-slider__image" data-fade-in-show="true">
Porsche, 911, Sports Car, 2021, <img alt="Porsche - Reserve a 911 Model" src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-911/normal/b45d5745-b7c0-11ea-80ca-005056bbdc38;sQ;twebp/porsche-normal.webp" data-image-src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-911/normal/b45d5745-b7c0-11ea-80ca-005056bbdc38/porsche-normal.jpg" data-width="1920" data-height="1080" class="m-102-slider__image" data-fade-in-show="true">
Porsche, Tycan, Sports Car, 2021, <img alt="Porsche - Reserve a Taycan Model" src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-taycan/normal/d258f3c8-bf8c-11ea-80ca-005056bbdc38;sQ;twebp/porsche-normal.webp" data-image-src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-taycan/normal/d258f3c8-bf8c-11ea-80ca-005056bbdc38/porsche-normal.jpg" data-width="1920" data-height="1080" class="m-102-slider__image" data-fade-in-show="true">
Porche, Mancan, Luxury Crossovers & SUVs, 2021, <img alt="Porsche - Reserve a Macan Model" src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-macan/normal/be2bf52c-b7c0-11ea-80ca-005056bbdc38;sQ;twebp/porsche-normal.webp" data-image-src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-macan/normal/be2bf52c-b7c0-11ea-80ca-005056bbdc38/porsche-normal.jpg" data-width="1920" data-height="1080" class="m-102-slider__image" data-fade-in-show="true">
Porche, Cayenne, Luxury Crossovers & SUVs, 2021, <img alt="Porsche - Reserve a Cayenne Model" src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-cayenne-e3/normal/c8932af1-b7c0-11ea-80ca-005056bbdc38;sQ;twebp/porsche-normal.webp" data-image-src="https://files.porsche.com/filestore/image/multimedia/none/homepage-teaser-icc-cayenne-e3/normal/c8932af1-b7c0-11ea-80ca-005056bbdc38/porsche-normal.jpg" data-width="1920" data-height="1080" class="m-102-slider__image" data-fade-in-show="true">
Ferrari, 812 Superfast, Supercar, 2021, <img src="https://api.ferrarinetwork.ferrari.com/v2/network-content/medias/resize/5dd560d4f8fc7b0aa906c8ca-line-up-ferrari-812-superfast-v2?apikey=9QscUiwr5n0NhOuQb463QEKghPrVlpaF&amp;width=800&amp;height=600" alt="Ferrari 812 Superfast - Line Up Ferrari.com" title="Ferrari 812 Superfast" data-object-fit="contain" class="Img__image__1RV_fMUN Img__image--contain__321cVidU">
Ferrari, 812 GTS, Supercar, 2021, <img src="https://api.ferrarinetwork.ferrari.com/v2/network-content/medias/resize/5dd55c232cdb32285a785f25-line-up-ferrari-812-gts?apikey=9QscUiwr5n0NhOuQb463QEKghPrVlpaF&amp;width=800&amp;height=600" alt="Ferrari 812 GTS - Line Up Ferrari.com" title="Ferrari 812 GTS" data-object-fit="contain" class="Img__image__1RV_fMUN Img__image--contain__321cVidU">
Ferrari, SFSO Straddle, Supercar, 2021, <img src="https://api.ferrarinetwork.ferrari.com/v2/network-content/medias/resize/5dd552852cdb32285a785d2e-line-up-ferrari-sf90-stradale?apikey=9QscUiwr5n0NhOuQb463QEKghPrVlpaF&amp;width=800&amp;height=600" alt="Ferrari SF90 Stradale - Line Up Ferrari.com" title="Ferrari SF90 Stradale" data-object-fit="contain" class="Img__image__1RV_fMUN Img__image--contain__321cVidU">
Ferrari, F8 Spider, Supercar, 2021, <img src="https://api.ferrarinetwork.ferrari.com/v2/network-content/medias/resize/5dd55285f8fc7b0aa906c5dc-line-up-ferrari-f8-spider?apikey=9QscUiwr5n0NhOuQb463QEKghPrVlpaF&amp;width=800&amp;height=600" alt="Ferrari F8 Spider - Line Up Ferrari.com" title="Ferrari F8 Spider" data-object-fit="contain" class="Img__image__1RV_fMUN Img__image--contain__321cVidU">
Lamborghini, Urus, Supercar, 2021, <img alt="Lamborghini Urus" data-srcset="https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_gw/urus/Urus_cc-giallo_auge-Taigete_23_Shiny_Black-black_caliper-sceneplate_env.png 1024w" src="https://www.lamborghini.com/sites/it-en/files/DAM/lamborghini/facelift_2019/model_gw/urus/Urus_cc-giallo_auge-Taigete_23_Shiny_Black-black_caliper-sceneplate_env.png" class="img-loaded">
